2023-07-25 22:22:27.930 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - Started PoseManagementApi in 3.323 seconds (JVM running for 4.262)
2023-07-25 22:37:59.571 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - Starting PoseManagementApi using Java 1.8.0_341 on SC-202102120022 with PID 7788 (C:\Users\Administrator\Desktop\pose-management\pose-management-api\target\classes started by Administrator in C:\Users\Administrator\Desktop\pose-management)
2023-07-25 22:37:59.589 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - No active profile set, falling back to 1 default profile: "default"
2023-07-25 22:38:00.686 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-07-25 22:38:00.807 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1152 ms
2023-07-25 22:38:01.772 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-07-25 22:38:01.961 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - Started PoseManagementApi in 2.684 seconds (JVM running for 3.503)
2023-07-25 22:38:39.228 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-07-25 22:38:39.229 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-07-25 23:27:32.128 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - Starting PoseManagementApi using Java 1.8.0_341 on SC-202102120022 with PID 2732 (C:\Users\Administrator\Desktop\pose-management\pose-management-api\target\classes started by Administrator in C:\Users\Administrator\Desktop\pose-management)
2023-07-25 23:27:32.135 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - No active profile set, falling back to 1 default profile: "default"
2023-07-25 23:27:33.233 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-07-25 23:27:33.360 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1192 ms
2023-07-25 23:27:34.368 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-07-25 23:27:34.579 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - Started PoseManagementApi in 2.765 seconds (JVM running for 3.661)
2023-07-25 23:27:47.908 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-07-25 23:27:47.909 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-07-25 23:33:13.408 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - Starting PoseManagementApi using Java 1.8.0_341 on SC-202102120022 with PID 14008 (C:\Users\Administrator\Desktop\pose-management\pose-management-api\target\classes started by Administrator in C:\Users\Administrator\Desktop\pose-management)
2023-07-25 23:33:13.415 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - No active profile set, falling back to 1 default profile: "default"
2023-07-25 23:33:14.521 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-07-25 23:33:14.666 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1193 ms
2023-07-25 23:33:15.695 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-07-25 23:33:15.970 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - Started PoseManagementApi in 2.892 seconds (JVM running for 4.002)
2023-07-25 23:33:24.764 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-07-25 23:33:24.767 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2023-07-25 23:35:10.486 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - Starting PoseManagementApi using Java 1.8.0_341 on SC-202102120022 with PID 3300 (C:\Users\Administrator\Desktop\pose-management\pose-management-api\target\classes started by Administrator in C:\Users\Administrator\Desktop\pose-management)
2023-07-25 23:35:10.493 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - No active profile set, falling back to 1 default profile: "default"
2023-07-25 23:35:11.653 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-07-25 23:35:11.778 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1228 ms
2023-07-25 23:35:12.820 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-07-25 23:35:13.033 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - Started PoseManagementApi in 2.88 seconds (JVM running for 3.887)
2023-07-25 23:35:21.632 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-07-25 23:35:21.633 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-07-25 23:35:41.565 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - Starting PoseManagementApi using Java 1.8.0_341 on SC-202102120022 with PID 11556 (C:\Users\Administrator\Desktop\pose-management\pose-management-api\target\classes started by Administrator in C:\Users\Administrator\Desktop\pose-management)
2023-07-25 23:35:41.572 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - No active profile set, falling back to 1 default profile: "default"
2023-07-25 23:35:42.776 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-07-25 23:35:42.914 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1280 ms
2023-07-25 23:35:44.036 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-07-25 23:35:44.320 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - Started PoseManagementApi in 3.094 seconds (JVM running for 3.968)
2023-07-25 23:35:46.542 [http-nio-8080-exec-3] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-07-25 23:35:46.543 [http-nio-8080-exec-3] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-07-25 23:36:55.534 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - Starting PoseManagementApi using Java 1.8.0_341 on SC-202102120022 with PID 10148 (C:\Users\Administrator\Desktop\pose-management\pose-management-api\target\classes started by Administrator in C:\Users\Administrator\Desktop\pose-management)
2023-07-25 23:36:55.542 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - No active profile set, falling back to 1 default profile: "default"
2023-07-25 23:36:56.684 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-07-25 23:36:56.806 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1207 ms
2023-07-25 23:36:57.808 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-07-25 23:36:58.057 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - Started PoseManagementApi in 2.851 seconds (JVM running for 3.728)
2023-07-25 23:37:00.045 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-07-25 23:37:00.047 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-07-25 23:37:29.187 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - Starting PoseManagementApi using Java 1.8.0_341 on SC-202102120022 with PID 6548 (C:\Users\Administrator\Desktop\pose-management\pose-management-api\target\classes started by Administrator in C:\Users\Administrator\Desktop\pose-management)
2023-07-25 23:37:29.195 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - No active profile set, falling back to 1 default profile: "default"
2023-07-25 23:37:30.447 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-07-25 23:37:30.637 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1382 ms
2023-07-25 23:37:32.042 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-07-25 23:37:32.436 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - Started PoseManagementApi in 3.56 seconds (JVM running for 4.468)
2023-07-25 23:37:33.108 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-07-25 23:37:33.110 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-07-25 23:38:34.154 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - Starting PoseManagementApi using Java 1.8.0_341 on SC-202102120022 with PID 6980 (C:\Users\Administrator\Desktop\pose-management\pose-management-api\target\classes started by Administrator in C:\Users\Administrator\Desktop\pose-management)
2023-07-25 23:38:34.162 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - No active profile set, falling back to 1 default profile: "default"
2023-07-25 23:38:35.355 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-07-25 23:38:35.506 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1301 ms
2023-07-25 23:38:36.668 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-07-25 23:38:36.913 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - Started PoseManagementApi in 3.065 seconds (JVM running for 3.953)
2023-07-25 23:38:37.241 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-07-25 23:38:37.242 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-07-25 23:38:37.265 [http-nio-8080-exec-1] WARN  org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.bind.MissingServletRequestParameterException: Required request parameter 'auth_type' for method parameter type int is not present]
